"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00867417677036137,-0.0271695760307823,-0.0473557036349949,-0.0658705175618728,-0.0860532165807215,-0.10707584264699,-0.129074340117281,-0.14906753264962,-0.162895467498103,-0.174780304001621,-0.191986529901423,-0.210730770307168,-0.228105883736067
"AAGAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00566960880444505,-0.0117859312412736,-0.0175124656334756,-0.02301655941889,-0.0218293647981151,-0.0199471780092215,-0.0213855130271418,-0.0223800473884231,-0.0203923764844973
"ACAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148674956818062,0.00354008837086469,0.00290546088701111,0.00374252245786815,0.00789274601993769
"ACAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0020422150347001,-0.00983346932716241,-0.0202195101363125,-0.0333696872840728,-0.040892586879557,-0.0489972243494476,-0.0610287313983647,-0.0738755663422268,-0.0854324130378623
"ACOT9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.86500696189885e-06,-0.0195766743173428,-0.0363298061955445,-0.061246565522026,-0.0729134512669772,-0.0788037579610693,-0.0771513896995705,-0.0745420880510865,-0.0754499629413277,-0.0791424597824911,-0.0886089126853587,-0.103536101027862,-0.12030525143562,-0.134414891814901,-0.150546560727507,-0.17032876712163,-0.190287270847967,-0.209855648146716
"ACSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000373980493363807,-0.00181500649577736,-0.0028930522096912
"ACTR10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482752661268786,0.0150087269895979,0.0263362412630819,0.03695769072716,0.0483154864926494,0.0563125841972337,0.0635237597847147,0.0699579388068738
"ACTR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307846526752138,0.00669554404311591,0.00943152651993181,0.016573642302662,0.0292054528664152,0.0453172221486787,0.0646558528407491,0.0895163774187175,0.118723094326025
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADH1C",0,0,0,0,0,0,0,0,0,0,0,0.0395279650491576,0.0988859560556196,0.149963010682189,0.193432448716935,0.230238940818195,0.262770938624363,0.284482506651615,0.30762192139428,0.330192957561865,0.359962957202977,0.384370739264078,0.402433996423892,0.423606533945262,0.450760516781404,0.476761969785914,0.517322191785192,0.541958109962733,0.580433713399695,0.622792953865309,0.66431709579853,0.70317243152563,0.744808380407494,0.787480921252899,0.831822219165753,0.878066157674801,0.920920276049338,0.964082457154406,1.00809800689638,1.05434195199883,1.10188108943997
"ADIPOR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629986699459163,0.0299929439794805,0.0567676546678848,0.0870997987678823,0.11896302715181,0.149481424197102,0.179247598021596,0.203244676342032,0.226160784655035,0.245835797711982,0.264859616343663,0.283108433189444
"ADM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0050566416882694,-0.0158136504353922,-0.0260405406435922,-0.0388739410344582,-0.0513772608114244,-0.0636620368297296,-0.0803490445651837,-0.100289810265139,-0.12029328010016,-0.139856252334909,-0.159397933683724
"AKAP12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKR1B10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
