




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-5.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-5.csv (113)	go-genelist-py-5.csv (expected)	go-genelist-py-5.csv (over/under)	go-genelist-py-5.csv (fold Enrichment)	go-genelist-py-5.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
negative regulation of toll-like receptor 5 signaling pathway (GO:0034148)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
regulation of toll-like receptor 5 signaling pathway (GO:0034147)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
rhombomere 5 formation (GO:0021666)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere 5 structural organization (GO:0021665)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere 5 morphogenesis (GO:0021664)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere 3 formation (GO:0021660)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere 3 structural organization (GO:0021659)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
dibenzo-p-dioxin catabolic process (GO:0019341)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
spleen trabecula formation (GO:0060345)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
antigen transcytosis by M cells in mucosal-associated lymphoid tissue (GO:0002412)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
antigen sampling by M cells in mucosal-associated lymphoid tissue (GO:0002406)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
antigen sampling in mucosal-associated lymphoid tissue (GO:0002404)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere structural organization (GO:0021595)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
rhombomere formation (GO:0021594)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
nicotinamide metabolic process (GO:0006769)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
endothelial cell activation involved in immune response (GO:0002264)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
protein amidation (GO:0018032)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070429)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
phospholipase D-activating G protein-coupled receptor signaling pathway (GO:0031583)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
ethylene metabolic process (GO:0009692)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
desmosome disassembly (GO:0035921)	1	1	.01	+	 > 100	1.09E-02	0	.01	-	 < 0.01	1.00E00
positive regulation of L-glutamine import across plasma membrane (GO:1901036)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
regulation of L-glutamine import across plasma membrane (GO:1901034)	1	1	.01	+	 > 100	1.09E-02	1	.01	+	 > 100	1.37E-02
