




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
L-kynurenine transmembrane transport (GO:0140924)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway (GO:0071877)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
slow axonal transport (GO:1990832)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
L-asparagine biosynthetic process (GO:0070981)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
mitochondrial manganese ion transmembrane transport (GO:1990540)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140194)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process (GO:0140193)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
positive regulation of progesterone biosynthetic process (GO:2000184)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
regulation of cysteine metabolic process (GO:1901494)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
protein amidation (GO:0018032)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
positive regulation of protein homodimerization activity (GO:0090073)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
positive regulation of L-glutamine import across plasma membrane (GO:1901036)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
regulation of L-glutamine import across plasma membrane (GO:1901034)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
regulation of protein heterodimerization activity (GO:0043497)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
chaperone-mediated autophagy translocation complex disassembly (GO:1904764)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
macrophage migration inhibitory factor signaling pathway (GO:0035691)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
leukocyte adhesion to arterial endothelial cell (GO:0061757)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
amino acid import (GO:0043090)	2	2	.01	+	 > 100	8.61E-05	1	.01	+	72.50	2.04E-02
fatty acid primary amide metabolic process (GO:0062126)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
fatty acid primary amide biosynthetic process (GO:0062112)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
cellular response to arsenite(3-) (GO:1903841)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
response to arsenite(3-) (GO:1903840)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
mercury ion transport (GO:0015694)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
cardiac neuron differentiation (GO:0060945)	1	1	.00	+	 > 100	7.63E-03	1	.01	+	 > 100	1.37E-02
proepicardium cell migration involved in pericardium morphogenesis (GO:0003345)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
plasma membrane selenite transport (GO:0097080)	1	1	.00	+	 > 100	7.63E-03	0	.01	-	 < 0.01	1.00E00
putrescine catabolic process (GO:0009447)	3	2	.01	+	 > 100	1.43E-04	2	.02	+	96.66	4.60E-04
positive regulation of detection of glucose (GO:2000972)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
regulation of detection of glucose (GO:2000970)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
keratinocyte activation (GO:0032980)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
asparagine biosynthetic process (GO:0006529)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
positive regulation of glutamine transport (GO:2000487)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
positive regulation of macrophage migration inhibitory factor signaling pathway (GO:2000448)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
epidermal growth factor receptor ligand maturation (GO:0038004)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
L-asparagine metabolic process (GO:0070982)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
peptide amidation (GO:0001519)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
cellular response to prolactin (GO:1990646)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
cell-cell adhesion in response to extracellular stimulus (GO:0140039)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
negative regulation of glycine import across plasma membrane (GO:1900924)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
regulation of glycine import across plasma membrane (GO:1900923)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
glucosamine catabolic process (GO:0006043)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
dimethylallyl diphosphate metabolic process (GO:0050993)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
dimethylallyl diphosphate biosynthetic process (GO:0050992)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
B cell receptor apoptotic signaling pathway (GO:1990117)	2	1	.01	+	 > 100	1.14E-02	1	.01	+	72.50	2.04E-02
iron ion import across plasma membrane (GO:0098711)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
detoxification of mercury ion (GO:0050787)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
brown fat cell proliferation (GO:0070342)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
regulation of protein homodimerization activity (GO:0043496)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
regulation of sulfur amino acid metabolic process (GO:0031335)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
sulfate assimilation (GO:0000103)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
response to dithiothreitol (GO:0072720)	2	1	.01	+	 > 100	1.14E-02	0	.01	-	 < 0.01	1.00E00
plasma cell differentiation (GO:0002317)	5	2	.02	+	 > 100	2.99E-04	2	.03	+	58.00	9.57E-04
polyamine catabolic process (GO:0006598)	5	2	.02	+	 > 100	2.99E-04	2	.03	+	58.00	9.57E-04
putrescine metabolic process (GO:0009445)	9	3	.03	+	86.87	1.15E-05	2	.06	+	32.22	2.46E-03
cellular detoxification of metal ion (GO:0140961)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
DNA replication-dependent chromatin disassembly (GO:0140889)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
negative regulation of ferroptosis (GO:0110076)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
inner cell mass cellular morphogenesis (GO:0001828)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
inner cell mass cell fate commitment (GO:0001827)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
spermidine acetylation (GO:0032918)	3	1	.01	+	86.87	1.52E-02	1	.02	+	48.33	2.71E-02
polyamine acetylation (GO:0032917)	3	1	.01	+	86.87	1.52E-02	1	.02	+	48.33	2.71E-02
putrescine biosynthetic process from ornithine (GO:0033387)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
conditioned taste aversion (GO:0001661)	3	1	.01	+	86.87	1.52E-02	0	.02	-	 < 0.01	1.00E00
