CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.625000 1691760741.6477
MEM 40.480469 1691760741.7567
MEM 74.992188 1691760741.8677
MEM 95.023438 1691760741.9781
MEM 183.953125 1691760742.0864
MEM 200.281250 1691760742.1938
MEM 204.906250 1691760742.3012
MEM 222.406250 1691760742.4086
MEM 238.363281 1691760742.5158
MEM 247.113281 1691760742.6238
MEM 253.113281 1691760742.7314
MEM 269.613281 1691760742.8386
MEM 283.863281 1691760742.9458
MEM 332.273438 1691760743.0541
MEM 545.671875 1691760743.1643
MEM 919.937500 1691760743.2775
CHLD 25956 10.207031 1691760743.2857
CHLD 25957 9.832031 1691760743.2857
CHLD 25958 6.957031 1691760743.2858
CHLD 25959 0.000000 1691760743.2858
CHLD 25960 0.000000 1691760743.2858
MEM 636.863281 1691760743.3925
CHLD 25956 20.644531 1691760743.4071
CHLD 25957 12.582031 1691760743.4072
CHLD 25958 21.136719 1691760743.4072
CHLD 25959 23.312500 1691760743.4072
CHLD 25960 13.082031 1691760743.4073
CHLD 25961 19.917969 1691760743.4073
MEM 677.640625 1691760743.5141
CHLD 25956 24.269531 1691760743.5244
CHLD 25957 12.582031 1691760743.5245
CHLD 25958 28.355469 1691760743.5245
CHLD 25959 28.382812 1691760743.5245
CHLD 25960 23.507812 1691760743.5245
CHLD 25961 28.234375 1691760743.5246
MEM 700.167969 1691760743.6313
CHLD 25956 27.957031 1691760743.6493
CHLD 25957 12.582031 1691760743.6494
CHLD 25958 40.347656 1691760743.6494
CHLD 25959 42.062500 1691760743.6494
CHLD 25960 28.347656 1691760743.6495
CHLD 25961 28.234375 1691760743.6495
MEM 771.812500 1691760743.7562
CHLD 25956 43.234375 1691760743.7628
CHLD 25957 12.582031 1691760743.7628
CHLD 25958 49.910156 1691760743.7628
CHLD 25959 51.773438 1691760743.7629
CHLD 25960 43.339844 1691760743.7629
CHLD 25961 40.093750 1691760743.7629
MEM 840.871094 1691760743.8700
CHLD 25956 51.957031 1691760743.8806
CHLD 25957 12.582031 1691760743.8807
CHLD 25958 75.789062 1691760743.8807
CHLD 25959 71.933594 1691760743.8808
CHLD 25960 54.628906 1691760743.8808
CHLD 25961 46.578125 1691760743.8808
MEM 923.839844 1691760743.9878
CHLD 25956 51.957031 1691760743.9994
CHLD 25957 12.582031 1691760743.9995
CHLD 25958 88.972656 1691760743.9995
CHLD 25959 88.398438 1691760743.9995
CHLD 25960 80.410156 1691760743.9995
CHLD 25961 71.515625 1691760743.9996
MEM 959.421875 1691760744.1066
CHLD 25956 51.957031 1691760744.1127
CHLD 25957 12.582031 1691760744.1127
CHLD 25958 95.347656 1691760744.1128
CHLD 25959 93.273438 1691760744.1128
CHLD 25960 89.867188 1691760744.1128
CHLD 25961 85.515625 1691760744.1128
MEM 1009.593750 1691760744.2194
CHLD 25956 51.957031 1691760744.2329
CHLD 25957 12.582031 1691760744.2329
CHLD 25958 114.468750 1691760744.2329
CHLD 25959 111.226562 1691760744.2329
CHLD 25960 102.367188 1691760744.2330
CHLD 25961 92.363281 1691760744.2330
MEM 1076.363281 1691760744.3396
CHLD 25956 51.957031 1691760744.3566
CHLD 25957 12.582031 1691760744.3567
CHLD 25958 132.171875 1691760744.3567
CHLD 25959 125.792969 1691760744.3567
CHLD 25960 123.332031 1691760744.3567
CHLD 25961 103.863281 1691760744.3568
MEM 1127.820312 1691760744.4632
CHLD 25956 51.957031 1691760744.4811
CHLD 25957 12.582031 1691760744.4811
CHLD 25958 140.421875 1691760744.4812
CHLD 25959 136.417969 1691760744.4812
CHLD 25960 136.082031 1691760744.4812
CHLD 25961 122.855469 1691760744.4813
MEM 1238.523438 1691760744.5878
CHLD 25956 51.957031 1691760744.5939
CHLD 25957 12.582031 1691760744.5940
CHLD 25958 224.125000 1691760744.5940
CHLD 25959 173.867188 1691760744.5940
CHLD 25960 142.207031 1691760744.5940
