CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.625000 1691757059.1955
MEM 26.207031 1691757059.2957
MEM 41.703125 1691757059.3959
MEM 66.148438 1691757059.4961
MEM 99.066406 1691757059.5963
MEM 117.734375 1691757059.6966
MEM 128.734375 1691757059.7968
MEM 218.277344 1691757059.8970
MEM 226.902344 1691757059.9973
MEM 241.027344 1691757060.0975
MEM 248.402344 1691757060.1977
MEM 265.117188 1691757060.2980
MEM 271.867188 1691757060.3982
MEM 279.773438 1691757060.4984
MEM 321.746094 1691757060.5987
MEM 529.589844 1691757060.6991
MEM 562.535156 1691757060.7993
MEM 637.542969 1691757060.8996
MEM 639.812500 1691757060.9999
MEM 640.023438 1691757061.1001
MEM 650.757812 1691757061.2004
MEM 682.753906 1691757061.3006
MEM 688.890625 1691757061.4009
MEM 698.531250 1691757061.5011
MEM 698.531250 1691757061.6013
MEM 698.531250 1691757061.7016
MEM 655.816406 1691757061.8018
MEM 698.531250 1691757061.9020
MEM 655.800781 1691757062.0022
MEM 655.800781 1691757062.1025
MEM 655.800781 1691757062.2027
MEM 697.640625 1691757062.3030
MEM 698.515625 1691757062.4032
MEM 655.800781 1691757062.5034
MEM 655.800781 1691757062.6037
MEM 655.800781 1691757062.7039
MEM 660.890625 1691757062.8042
MEM 698.515625 1691757062.9044
MEM 655.800781 1691757063.0046
MEM 655.800781 1691757063.1048
MEM 655.800781 1691757063.2050
MEM 655.800781 1691757063.3053
MEM 670.890625 1691757063.4056
MEM 655.800781 1691757063.5058
MEM 698.515625 1691757063.6060
MEM 655.800781 1691757063.7062
MEM 655.800781 1691757063.8065
MEM 655.800781 1691757063.9067
MEM 698.515625 1691757064.0069
MEM 646.222656 1691757064.1071
MEM 667.578125 1691757064.2074
MEM 689.203125 1691757064.3159
MEM 689.203125 1691757064.4161
MEM 689.203125 1691757064.5164
MEM 689.203125 1691757064.6166
MEM 689.203125 1691757064.7169
MEM 698.828125 1691757064.8171
MEM 698.828125 1691757064.9173
MEM 698.828125 1691757065.0180
MEM 698.828125 1691757065.1183
MEM 698.828125 1691757065.2186
MEM 698.828125 1691757065.3188
MEM 698.828125 1691757065.4191
MEM 698.828125 1691757065.5194
MEM 698.828125 1691757065.6196
MEM 698.828125 1691757065.7198
MEM 698.828125 1691757065.8201
MEM 698.828125 1691757065.9203
MEM 698.828125 1691757066.0207
MEM 698.828125 1691757066.1211
MEM 698.828125 1691757066.2214
MEM 698.828125 1691757066.3216
MEM 698.828125 1691757066.4219
MEM 698.828125 1691757066.5221
MEM 698.828125 1691757066.6223
MEM 698.828125 1691757066.7226
MEM 698.828125 1691757066.8228
MEM 698.828125 1691757066.9231
MEM 698.828125 1691757067.0236
MEM 646.128906 1691757067.1238
MEM 667.503906 1691757067.2241
MEM 689.128906 1691757067.3243
MEM 689.128906 1691757067.4246
MEM 689.128906 1691757067.5248
MEM 689.128906 1691757067.6250
MEM 689.128906 1691757067.7252
MEM 698.753906 1691757067.8255
MEM 698.753906 1691757067.9259
MEM 698.753906 1691757068.0261
MEM 698.753906 1691757068.1263
MEM 698.753906 1691757068.2266
MEM 698.753906 1691757068.3268
MEM 698.753906 1691757068.4270
MEM 698.753906 1691757068.5275
MEM 698.753906 1691757068.6278
MEM 698.753906 1691757068.7280
MEM 698.753906 1691757068.8282
MEM 698.753906 1691757068.9284
MEM 698.753906 1691757069.0289
MEM 698.753906 1691757069.1291
MEM 698.753906 1691757069.2294
MEM 698.753906 1691757069.3297
MEM 698.753906 1691757069.4299
MEM 698.753906 1691757069.5302
MEM 698.753906 1691757069.6304
MEM 698.753906 1691757069.7306
MEM 698.753906 1691757069.8309
MEM 698.753906 1691757069.9312
MEM 698.753906 1691757070.0315
MEM 698.753906 1691757070.1317
MEM 698.753906 1691757070.2319
MEM 603.210938 1691757070.3321
MEM 667.585938 1691757070.4324
MEM 667.585938 1691757070.5326
MEM 688.960938 1691757070.6329
MEM 689.085938 1691757070.7332
MEM 689.085938 1691757070.8334
MEM 689.085938 1691757070.9337
MEM 689.085938 1691757071.0339
MEM 689.085938 1691757071.1342
MEM 698.835938 1691757071.2344
MEM 698.835938 1691757071.3346
MEM 698.835938 1691757071.4348
MEM 698.835938 1691757071.5351
MEM 698.835938 1691757071.6353
MEM 698.835938 1691757071.7356
MEM 698.835938 1691757071.8359
MEM 698.835938 1691757071.9361
MEM 698.835938 1691757072.0366
MEM 698.835938 1691757072.1369
MEM 698.835938 1691757072.2371
MEM 698.835938 1691757072.3374
MEM 698.835938 1691757072.4377
MEM 698.835938 1691757072.5379
MEM 698.835938 1691757072.6382
MEM 698.835938 1691757072.7385
MEM 698.835938 1691757072.8387
MEM 698.835938 1691757072.9389
MEM 698.835938 1691757073.0392
MEM 698.835938 1691757073.1395
MEM 698.835938 1691757073.2397
MEM 698.835938 1691757073.3399
MEM 698.835938 1691757073.4402
MEM 698.835938 1691757073.5404
MEM 698.835938 1691757073.6406
MEM 566.382812 1691757073.7410
MEM 667.507812 1691757073.8412
MEM 667.507812 1691757073.9414
MEM 689.132812 1691757074.0417
MEM 689.132812 1691757074.1419
MEM 689.132812 1691757074.2422
MEM 689.132812 1691757074.3424
MEM 689.132812 1691757074.4426
MEM 698.855469 1691757074.5429
MEM 698.855469 1691757074.6431
MEM 698.855469 1691757074.7434
MEM 698.855469 1691757074.8436
MEM 698.855469 1691757074.9438
MEM 698.855469 1691757075.0441
MEM 698.855469 1691757075.1444
MEM 698.855469 1691757075.2447
MEM 698.855469 1691757075.3449
MEM 698.855469 1691757075.4451
MEM 698.855469 1691757075.5454
MEM 698.855469 1691757075.6456
MEM 698.855469 1691757075.7459
MEM 698.855469 1691757075.8461
MEM 698.855469 1691757075.9464
MEM 698.855469 1691757076.0466
MEM 698.855469 1691757076.1469
MEM 698.855469 1691757076.2472
MEM 698.855469 1691757076.3474
MEM 698.855469 1691757076.4476
MEM 698.855469 1691757076.5479
MEM 698.855469 1691757076.6481
MEM 698.855469 1691757076.7483
MEM 698.855469 1691757076.8486
MEM 698.855469 1691757076.9488
MEM 698.855469 1691757077.0491
MEM 698.855469 1691757077.1493
MEM 579.121094 1691757077.2496
MEM 688.707031 1691757077.3498
MEM 688.707031 1691757077.4500
MEM 688.707031 1691757077.5503
MEM 688.707031 1691757077.6505
MEM 688.707031 1691757077.7507
MEM 698.332031 1691757077.8510
MEM 698.332031 1691757077.9512
MEM 698.332031 1691757078.0514
MEM 698.332031 1691757078.1517
MEM 698.332031 1691757078.2519
MEM 698.332031 1691757078.3522
MEM 698.332031 1691757078.4524
MEM 698.332031 1691757078.5526
MEM 698.332031 1691757078.6528
MEM 698.332031 1691757078.7531
MEM 698.332031 1691757078.8533
MEM 698.332031 1691757078.9535
MEM 698.332031 1691757079.0538
MEM 698.332031 1691757079.1541
MEM 698.332031 1691757079.2544
MEM 698.332031 1691757079.3546
MEM 698.332031 1691757079.4549
MEM 698.332031 1691757079.5551
MEM 698.332031 1691757079.6554
MEM 698.332031 1691757079.7556
MEM 698.332031 1691757079.8558
MEM 698.332031 1691757079.9561
MEM 698.332031 1691757080.0563
MEM 698.332031 1691757080.1567
MEM 698.332031 1691757080.2569
MEM 698.332031 1691757080.3571
MEM 569.257812 1691757080.4574
MEM 666.882812 1691757080.5577
MEM 667.507812 1691757080.6579
MEM 689.132812 1691757080.7581
MEM 689.132812 1691757080.8584
MEM 689.132812 1691757080.9587
MEM 689.132812 1691757081.0589
MEM 689.132812 1691757081.1595
MEM 689.132812 1691757081.2599
MEM 698.757812 1691757081.3602
MEM 698.757812 1691757081.4605
MEM 698.757812 1691757081.5608
MEM 698.757812 1691757081.6611
MEM 698.757812 1691757081.7613
MEM 698.757812 1691757081.8618
MEM 698.757812 1691757081.9621
MEM 698.757812 1691757082.0623
MEM 698.757812 1691757082.1626
MEM 698.757812 1691757082.2628
MEM 698.757812 1691757082.3632
MEM 698.757812 1691757082.4634
MEM 698.757812 1691757082.5637
MEM 698.757812 1691757082.6639
MEM 698.757812 1691757082.7641
MEM 698.757812 1691757082.8644
MEM 698.757812 1691757082.9646
MEM 698.757812 1691757083.0649
MEM 698.757812 1691757083.1651
MEM 698.757812 1691757083.2654
MEM 698.757812 1691757083.3656
MEM 698.757812 1691757083.4659
MEM 698.757812 1691757083.5661
MEM 698.757812 1691757083.6663
MEM 698.757812 1691757083.7666
MEM 698.757812 1691757083.8668
MEM 698.757812 1691757083.9671
MEM 613.171875 1691757084.0673
MEM 646.082031 1691757084.1677
MEM 667.582031 1691757084.2679
MEM 689.082031 1691757084.3681
MEM 689.082031 1691757084.4684
MEM 689.082031 1691757084.5686
MEM 689.082031 1691757084.6689
MEM 689.082031 1691757084.7692
MEM 698.832031 1691757084.8694
MEM 698.832031 1691757084.9697
MEM 698.832031 1691757085.0699
MEM 698.832031 1691757085.1701
MEM 698.832031 1691757085.2705
MEM 698.832031 1691757085.3707
MEM 698.832031 1691757085.4709
MEM 698.832031 1691757085.5712
MEM 698.832031 1691757085.6714
MEM 698.832031 1691757085.7716
MEM 698.832031 1691757085.8719
MEM 698.832031 1691757085.9721
MEM 698.832031 1691757086.0724
MEM 698.832031 1691757086.1726
MEM 698.832031 1691757086.2728
MEM 698.832031 1691757086.3730
MEM 698.832031 1691757086.4733
MEM 698.832031 1691757086.5735
MEM 698.832031 1691757086.6738
MEM 698.832031 1691757086.7741
MEM 698.832031 1691757086.8744
MEM 698.832031 1691757086.9746
MEM 698.832031 1691757087.0749
MEM 698.832031 1691757087.1752
MEM 698.832031 1691757087.2754
MEM 698.832031 1691757087.3757
MEM 698.832031 1691757087.4759
MEM 599.128906 1691757087.5762
MEM 667.503906 1691757087.6764
MEM 667.503906 1691757087.7766
MEM 689.128906 1691757087.8769
MEM 689.128906 1691757087.9771
MEM 689.128906 1691757088.0774
MEM 689.128906 1691757088.1776
MEM 689.128906 1691757088.2778
MEM 689.128906 1691757088.3781
MEM 698.859375 1691757088.4783
MEM 698.859375 1691757088.5786
MEM 698.859375 1691757088.6788
MEM 698.859375 1691757088.7790
MEM 698.859375 1691757088.8792
MEM 698.859375 1691757088.9795
MEM 698.859375 1691757089.0797
MEM 698.859375 1691757089.1800
MEM 698.859375 1691757089.2803
MEM 698.859375 1691757089.3805
MEM 698.859375 1691757089.4808
MEM 698.859375 1691757089.5811
MEM 698.859375 1691757089.6814
MEM 698.859375 1691757089.7817
MEM 698.859375 1691757089.8821
MEM 698.859375 1691757089.9823
MEM 698.859375 1691757090.0826
MEM 698.859375 1691757090.1828
MEM 698.859375 1691757090.2831
MEM 698.859375 1691757090.3833
MEM 698.859375 1691757090.4835
MEM 698.859375 1691757090.5838
MEM 698.859375 1691757090.6840
MEM 698.859375 1691757090.7843
MEM 698.859375 1691757090.8845
MEM 646.082031 1691757090.9848
MEM 667.582031 1691757091.0850
MEM 667.582031 1691757091.1853
MEM 689.082031 1691757091.2856
MEM 689.082031 1691757091.3858
MEM 689.082031 1691757091.4860
MEM 689.082031 1691757091.5863
MEM 689.082031 1691757091.6866
MEM 698.832031 1691757091.7870
MEM 698.832031 1691757091.8873
MEM 698.832031 1691757091.9875
MEM 698.832031 1691757092.0877
MEM 698.832031 1691757092.1879
MEM 698.832031 1691757092.2881
MEM 698.832031 1691757092.3884
MEM 698.832031 1691757092.4886
MEM 698.832031 1691757092.5888
MEM 698.832031 1691757092.6891
MEM 698.832031 1691757092.7893
MEM 698.832031 1691757092.8896
MEM 698.832031 1691757092.9898
MEM 698.832031 1691757093.0900
MEM 698.832031 1691757093.1903
MEM 698.832031 1691757093.2905
MEM 698.832031 1691757093.3908
MEM 698.832031 1691757093.4910
MEM 698.832031 1691757093.5912
MEM 698.832031 1691757093.6915
MEM 698.832031 1691757093.7918
MEM 698.832031 1691757093.8920
MEM 698.832031 1691757093.9923
MEM 698.832031 1691757094.0927
MEM 538.886719 1691757094.1929
MEM 645.855469 1691757094.2931
MEM 688.730469 1691757094.3934
MEM 688.730469 1691757094.4936
MEM 688.730469 1691757094.5939
MEM 688.730469 1691757094.6941
MEM 688.730469 1691757094.7943
MEM 698.480469 1691757094.8945
MEM 698.480469 1691757094.9948
MEM 698.480469 1691757095.0950
MEM 698.480469 1691757095.1953
MEM 698.480469 1691757095.2955
MEM 698.480469 1691757095.3958
MEM 698.480469 1691757095.4960
MEM 698.480469 1691757095.5962
MEM 698.480469 1691757095.6965
MEM 698.480469 1691757095.7967
MEM 698.480469 1691757095.8970
MEM 698.480469 1691757095.9972
MEM 698.480469 1691757096.0974
MEM 698.480469 1691757096.1977
MEM 698.480469 1691757096.2979
MEM 698.480469 1691757096.3981
MEM 698.480469 1691757096.4984
MEM 698.480469 1691757096.5986
MEM 698.480469 1691757096.6989
MEM 698.480469 1691757096.7991
MEM 698.480469 1691757096.8994
MEM 698.480469 1691757096.9996
MEM 698.480469 1691757097.0998
MEM 698.480469 1691757097.2000
MEM 698.480469 1691757097.3003
MEM 698.480469 1691757097.4005
MEM 584.410156 1691757097.5008
MEM 667.660156 1691757097.6010
MEM 667.660156 1691757097.7013
MEM 689.160156 1691757097.8015
MEM 689.160156 1691757097.9017
MEM 689.160156 1691757098.0019
MEM 689.160156 1691757098.1022
MEM 689.160156 1691757098.2025
MEM 689.160156 1691757098.3028
MEM 698.890625 1691757098.4030
MEM 698.890625 1691757098.5032
MEM 698.890625 1691757098.6036
MEM 698.890625 1691757098.7038
MEM 698.890625 1691757098.8040
MEM 698.890625 1691757098.9043
MEM 698.890625 1691757099.0045
MEM 698.890625 1691757099.1048
MEM 698.890625 1691757099.2050
MEM 698.890625 1691757099.3053
MEM 698.890625 1691757099.4057
MEM 698.890625 1691757099.5059
MEM 698.890625 1691757099.6061
MEM 698.890625 1691757099.7064
MEM 698.890625 1691757099.8066
MEM 698.890625 1691757099.9069
MEM 698.890625 1691757100.0071
MEM 698.890625 1691757100.1074
MEM 698.890625 1691757100.2076
MEM 698.890625 1691757100.3079
MEM 698.890625 1691757100.4081
MEM 698.890625 1691757100.5084
MEM 698.890625 1691757100.6087
MEM 698.890625 1691757100.7090
MEM 698.890625 1691757100.8092
MEM 569.332031 1691757100.9095
MEM 667.328125 1691757101.0099
MEM 667.578125 1691757101.1103
MEM 689.203125 1691757101.2106
MEM 689.203125 1691757101.3108
MEM 689.203125 1691757101.4111
MEM 689.203125 1691757101.5113
MEM 689.203125 1691757101.6116
MEM 689.203125 1691757101.7118
MEM 698.859375 1691757101.8121
MEM 698.859375 1691757101.9123
MEM 698.859375 1691757102.0125
MEM 698.859375 1691757102.1128
MEM 698.859375 1691757102.2130
MEM 698.859375 1691757102.3132
MEM 698.859375 1691757102.4135
MEM 698.859375 1691757102.5137
MEM 698.859375 1691757102.6139
MEM 698.859375 1691757102.7142
MEM 698.859375 1691757102.8144
MEM 698.859375 1691757102.9146
MEM 698.859375 1691757103.0149
MEM 698.859375 1691757103.1151
MEM 698.859375 1691757103.2154
MEM 698.859375 1691757103.3156
MEM 698.859375 1691757103.4158
MEM 698.859375 1691757103.5161
MEM 698.859375 1691757103.6163
MEM 698.859375 1691757103.7166
MEM 698.859375 1691757103.8168
MEM 698.859375 1691757103.9170
MEM 698.859375 1691757104.0173
MEM 698.859375 1691757104.1175
MEM 698.859375 1691757104.2178
MEM 698.859375 1691757104.3180
MEM 604.332031 1691757104.4182
MEM 667.582031 1691757104.5185
MEM 672.332031 1691757104.6188
MEM 689.082031 1691757104.7192
MEM 689.082031 1691757104.8195
MEM 689.082031 1691757104.9197
MEM 689.082031 1691757105.0203
MEM 689.082031 1691757105.1207
MEM 698.832031 1691757105.2210
MEM 698.832031 1691757105.3213
MEM 698.832031 1691757105.4217
MEM 698.832031 1691757105.5221
MEM 698.832031 1691757105.6223
MEM 698.832031 1691757105.7226
MEM 698.832031 1691757105.8228
MEM 698.832031 1691757105.9231
MEM 698.832031 1691757106.0233
MEM 698.832031 1691757106.1236
MEM 698.832031 1691757106.2238
MEM 698.832031 1691757106.3242
MEM 698.832031 1691757106.4244
MEM 698.832031 1691757106.5247
MEM 698.832031 1691757106.6251
MEM 698.832031 1691757106.7255
MEM 698.832031 1691757106.8257
MEM 698.832031 1691757106.9260
MEM 698.832031 1691757107.0263
MEM 698.832031 1691757107.1266
MEM 698.832031 1691757107.2268
MEM 698.832031 1691757107.3271
MEM 698.832031 1691757107.4274
MEM 698.832031 1691757107.5276
MEM 698.832031 1691757107.6279
MEM 698.832031 1691757107.7281
MEM 698.832031 1691757107.8283
MEM 569.332031 1691757107.9287
MEM 667.582031 1691757108.0290
MEM 667.582031 1691757108.1292
MEM 689.207031 1691757108.2294
MEM 689.207031 1691757108.3297
MEM 689.207031 1691757108.4300
MEM 689.207031 1691757108.5302
MEM 689.207031 1691757108.6304
MEM 689.207031 1691757108.7307
MEM 698.859375 1691757108.8310
MEM 698.859375 1691757108.9312
MEM 698.859375 1691757109.0315
MEM 698.859375 1691757109.1317
MEM 698.859375 1691757109.2320
MEM 698.859375 1691757109.3324
MEM 698.859375 1691757109.4326
MEM 698.859375 1691757109.5330
MEM 698.859375 1691757109.6333
MEM 698.859375 1691757109.7335
MEM 698.859375 1691757109.8337
MEM 698.859375 1691757109.9339
MEM 698.859375 1691757110.0343
MEM 698.859375 1691757110.1345
MEM 698.859375 1691757110.2347
MEM 698.859375 1691757110.3350
MEM 698.859375 1691757110.4352
MEM 698.859375 1691757110.5355
MEM 698.859375 1691757110.6358
MEM 698.859375 1691757110.7360
MEM 698.859375 1691757110.8362
MEM 698.859375 1691757110.9365
MEM 698.859375 1691757111.0369
MEM 698.859375 1691757111.1371
MEM 698.859375 1691757111.2374
MEM 698.859375 1691757111.3377
MEM 698.859375 1691757111.4380
MEM 579.230469 1691757111.5383
MEM 688.812500 1691757111.6386
MEM 688.812500 1691757111.7388
MEM 688.812500 1691757111.8390
MEM 688.812500 1691757111.9392
MEM 688.812500 1691757112.0395
MEM 688.812500 1691757112.1398
MEM 698.437500 1691757112.2400
MEM 698.437500 1691757112.3402
MEM 698.437500 1691757112.4405
MEM 698.437500 1691757112.5407
MEM 698.437500 1691757112.6409
MEM 698.437500 1691757112.7412
MEM 698.437500 1691757112.8414
MEM 698.437500 1691757112.9417
MEM 698.437500 1691757113.0419
MEM 698.437500 1691757113.1422
MEM 698.437500 1691757113.2424
MEM 698.437500 1691757113.3427
MEM 698.437500 1691757113.4429
MEM 698.437500 1691757113.5431
MEM 698.437500 1691757113.6433
MEM 698.437500 1691757113.7436
MEM 698.437500 1691757113.8439
MEM 698.437500 1691757113.9441
MEM 698.437500 1691757114.0444
MEM 698.437500 1691757114.1446
MEM 698.437500 1691757114.2449
MEM 698.437500 1691757114.3451
MEM 698.437500 1691757114.4454
MEM 698.437500 1691757114.5456
MEM 698.437500 1691757114.6459
MEM 698.437500 1691757114.7461
MEM 698.437500 1691757114.8463
MEM 603.359375 1691757114.9466
MEM 667.609375 1691757115.0468
MEM 667.609375 1691757115.1471
MEM 689.234375 1691757115.2473
MEM 689.234375 1691757115.3476
MEM 689.234375 1691757115.4479
MEM 689.234375 1691757115.5481
MEM 689.234375 1691757115.6484
MEM 698.859375 1691757115.7486
MEM 698.859375 1691757115.8489
MEM 698.859375 1691757115.9491
MEM 698.859375 1691757116.0495
MEM 698.859375 1691757116.1498
MEM 698.859375 1691757116.2500
MEM 698.859375 1691757116.3503
MEM 698.859375 1691757116.4505
MEM 698.859375 1691757116.5508
MEM 698.859375 1691757116.6510
MEM 698.859375 1691757116.7513
MEM 698.859375 1691757116.8515
MEM 698.859375 1691757116.9518
MEM 698.859375 1691757117.0521
MEM 698.859375 1691757117.1523
MEM 698.859375 1691757117.2526
MEM 698.859375 1691757117.3529
MEM 698.859375 1691757117.4531
MEM 698.859375 1691757117.5533
MEM 698.859375 1691757117.6536
MEM 698.859375 1691757117.7539
MEM 698.859375 1691757117.8541
MEM 698.859375 1691757117.9543
MEM 698.859375 1691757118.0546
MEM 698.859375 1691757118.1548
MEM 698.859375 1691757118.2551
MEM 698.859375 1691757118.3553
MEM 698.859375 1691757118.4555
MEM 646.082031 1691757118.5558
MEM 667.582031 1691757118.6560
MEM 689.082031 1691757118.7563
MEM 689.082031 1691757118.8565
MEM 689.082031 1691757118.9568
MEM 689.082031 1691757119.0570
MEM 689.082031 1691757119.1572
MEM 689.082031 1691757119.2575
MEM 698.832031 1691757119.3577
MEM 698.832031 1691757119.4580
MEM 698.832031 1691757119.5582
MEM 698.832031 1691757119.6585
MEM 698.832031 1691757119.7587
MEM 698.832031 1691757119.8590
MEM 698.832031 1691757119.9592
MEM 698.832031 1691757120.0595
MEM 698.832031 1691757120.1597
MEM 698.832031 1691757120.2599
MEM 698.832031 1691757120.3602
MEM 698.832031 1691757120.4604
MEM 698.832031 1691757120.5607
MEM 698.832031 1691757120.6610
MEM 698.832031 1691757120.7612
MEM 698.832031 1691757120.8614
MEM 698.832031 1691757120.9617
MEM 698.832031 1691757121.0619
MEM 698.832031 1691757121.1622
MEM 698.832031 1691757121.2624
MEM 698.832031 1691757121.3627
MEM 698.832031 1691757121.4629
MEM 698.832031 1691757121.5632
MEM 698.832031 1691757121.6634
MEM 698.832031 1691757121.7637
MEM 698.832031 1691757121.8639
MEM 569.332031 1691757121.9642
MEM 646.207031 1691757122.0645
MEM 667.582031 1691757122.1648
MEM 689.207031 1691757122.2653
MEM 689.207031 1691757122.3655
MEM 689.207031 1691757122.4658
MEM 689.207031 1691757122.5660
MEM 689.207031 1691757122.6662
MEM 689.207031 1691757122.7665
MEM 698.859375 1691757122.8667
MEM 698.859375 1691757122.9670
MEM 698.859375 1691757123.0673
MEM 698.859375 1691757123.1675
MEM 698.859375 1691757123.2678
MEM 698.859375 1691757123.3680
MEM 698.859375 1691757123.4683
MEM 698.859375 1691757123.5685
MEM 698.859375 1691757123.6688
MEM 698.859375 1691757123.7690
MEM 698.859375 1691757123.8693
MEM 698.859375 1691757123.9696
MEM 698.859375 1691757124.0698
MEM 698.859375 1691757124.1701
MEM 698.859375 1691757124.2703
MEM 698.859375 1691757124.3706
MEM 698.859375 1691757124.4708
MEM 698.859375 1691757124.5711
MEM 698.859375 1691757124.6713
MEM 698.859375 1691757124.7716
MEM 698.859375 1691757124.8718
MEM 698.859375 1691757124.9720
MEM 698.859375 1691757125.0723
MEM 698.859375 1691757125.1725
MEM 698.859375 1691757125.2728
MEM 698.859375 1691757125.3730
MEM 698.859375 1691757125.4736
MEM 698.859375 1691757125.5738
MEM 579.230469 1691757125.6741
MEM 667.687500 1691757125.7744
MEM 667.687500 1691757125.8759
MEM 689.187500 1691757125.9762
MEM 689.187500 1691757126.0764
MEM 689.187500 1691757126.1767
MEM 689.187500 1691757126.2769
MEM 689.187500 1691757126.3771
MEM 689.187500 1691757126.4774
MEM 698.937500 1691757126.5776
MEM 698.937500 1691757126.6779
MEM 698.937500 1691757126.7781
MEM 698.937500 1691757126.8783
MEM 698.937500 1691757126.9786
MEM 698.937500 1691757127.0788
MEM 698.937500 1691757127.1790
MEM 698.937500 1691757127.2792
MEM 698.937500 1691757127.3794
MEM 698.937500 1691757127.4797
MEM 698.937500 1691757127.5799
MEM 698.937500 1691757127.6802
MEM 698.937500 1691757127.7804
MEM 698.937500 1691757127.8807
MEM 698.937500 1691757127.9809
MEM 698.937500 1691757128.0812
MEM 698.937500 1691757128.1814
