CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.750000 1691762312.7427
MEM 38.281250 1691762312.8535
MEM 67.718750 1691762312.9701
MEM 88.164062 1691762313.0868
MEM 101.894531 1691762313.1979
MEM 192.941406 1691762313.3091
MEM 201.941406 1691762313.4211
MEM 214.816406 1691762313.5310
MEM 225.816406 1691762313.6387
MEM 244.394531 1691762313.7464
MEM 248.019531 1691762313.8544
MEM 254.769531 1691762313.9626
MEM 273.019531 1691762314.0702
MEM 283.726562 1691762314.1792
MEM 467.375000 1691762314.2879
MEM 557.621094 1691762314.3965
MEM 555.773438 1691762314.5080
CHLD 28608 12.000000 1691762314.5177
CHLD 28609 12.082031 1691762314.5178
CHLD 28610 10.210938 1691762314.5178
CHLD 28611 7.960938 1691762314.5178
CHLD 28612 7.710938 1691762314.5179
CHLD 28613 0.000000 1691762314.5179
MEM 641.152344 1691762314.6248
CHLD 28608 23.570312 1691762314.6352
CHLD 28609 12.582031 1691762314.6352
CHLD 28610 16.082031 1691762314.6353
CHLD 28611 20.148438 1691762314.6353
CHLD 28612 20.453125 1691762314.6353
CHLD 28613 10.707031 1691762314.6353
CHLD 28614 12.566406 1691762314.6354
MEM 681.894531 1691762314.7429
CHLD 28608 24.820312 1691762314.7578
CHLD 28609 12.582031 1691762314.7579
CHLD 28610 23.218750 1691762314.7579
CHLD 28611 28.367188 1691762314.7579
CHLD 28612 24.203125 1691762314.7613
CHLD 28613 19.394531 1691762314.7613
CHLD 28614 23.484375 1691762314.7614
MEM 704.632812 1691762314.8687
CHLD 28608 27.937500 1691762314.8890
CHLD 28609 12.582031 1691762314.8891
CHLD 28610 28.164062 1691762314.8891
CHLD 28611 29.117188 1691762314.8891
CHLD 28612 28.417969 1691762314.8891
CHLD 28613 23.894531 1691762314.8892
CHLD 28614 24.105469 1691762314.8892
MEM 742.640625 1691762314.9965
CHLD 28608 28.312500 1691762315.0121
CHLD 28609 12.582031 1691762315.0121
CHLD 28610 29.039062 1691762315.0121
CHLD 28611 47.144531 1691762315.0121
CHLD 28612 42.929688 1691762315.0122
CHLD 28613 27.644531 1691762315.0122
CHLD 28614 28.226562 1691762315.0122
MEM 797.117188 1691762315.1196
CHLD 28608 52.062500 1691762315.1332
CHLD 28609 12.582031 1691762315.1333
CHLD 28610 43.164062 1691762315.1333
CHLD 28611 53.906250 1691762315.1333
CHLD 28612 50.722656 1691762315.1334
CHLD 28613 28.394531 1691762315.1334
CHLD 28614 28.226562 1691762315.1334
MEM 870.937500 1691762315.2407
CHLD 28608 52.062500 1691762315.2545
CHLD 28609 12.582031 1691762315.2546
CHLD 28610 51.660156 1691762315.2546
CHLD 28611 77.050781 1691762315.2546
CHLD 28612 67.585938 1691762315.2547
CHLD 28613 43.093750 1691762315.2547
CHLD 28614 40.363281 1691762315.2547
MEM 952.824219 1691762315.3618
CHLD 28608 52.062500 1691762315.3771
CHLD 28609 12.582031 1691762315.3776
CHLD 28610 76.660156 1691762315.3776
CHLD 28611 87.398438 1691762315.3776
CHLD 28612 81.835938 1691762315.3777
CHLD 28613 68.933594 1691762315.3777
CHLD 28614 48.562500 1691762315.3777
MEM 1007.359375 1691762315.4851
CHLD 28608 52.062500 1691762315.5022
CHLD 28609 12.582031 1691762315.5022
CHLD 28610 87.386719 1691762315.5023
CHLD 28611 88.523438 1691762315.5023
CHLD 28612 88.929688 1691762315.5023
CHLD 28613 85.156250 1691762315.5024
CHLD 28614 68.777344 1691762315.5024
MEM 1046.457031 1691762315.6098
CHLD 28608 52.062500 1691762315.6267
CHLD 28609 12.582031 1691762315.6268
