CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.500000 1691846917.2348
MEM 26.277344 1691846917.3350
MEM 42.148438 1691846917.4352
MEM 67.542969 1691846917.5357
MEM 98.742188 1691846917.6359
MEM 117.054688 1691846917.7362
MEM 127.804688 1691846917.8364
MEM 216.914062 1691846917.9367
MEM 232.789062 1691846918.0369
MEM 243.289062 1691846918.1371
MEM 255.414062 1691846918.2373
MEM 267.789062 1691846918.3375
MEM 274.039062 1691846918.4378
MEM 279.023438 1691846918.5380
MEM 288.273438 1691846918.6383
MEM 476.265625 1691846918.7385
MEM 486.453125 1691846918.8387
MEM 519.644531 1691846918.9390
MEM 801.035156 1691846919.0394
MEM 703.457031 1691846919.1396
MEM 703.558594 1691846919.2399
MEM 703.558594 1691846919.3401
MEM 757.437500 1691846919.4404
MEM 757.437500 1691846919.5406
MEM 757.539062 1691846919.6408
MEM 757.539062 1691846919.7411
MEM 757.437500 1691846919.8413
MEM 757.437500 1691846919.9415
MEM 757.539062 1691846920.0418
MEM 757.539062 1691846920.1421
MEM 757.437500 1691846920.2423
MEM 757.437500 1691846920.3426
MEM 757.539062 1691846920.4428
MEM 782.445312 1691846920.5431
MEM 757.437500 1691846920.6434
MEM 856.101562 1691846920.7437
MEM 757.539062 1691846920.8439
MEM 920.097656 1691846920.9442
MEM 757.437500 1691846921.0444
MEM 949.960938 1691846921.1447
MEM 757.539062 1691846921.2450
MEM 586.105469 1691846921.3452
MEM 724.015625 1691846921.4455
MEM 724.015625 1691846921.5457
MEM 724.015625 1691846921.6459
MEM 724.015625 1691846921.7462
MEM 758.015625 1691846921.8464
MEM 758.015625 1691846921.9466
MEM 758.015625 1691846922.0470
MEM 758.015625 1691846922.1472
MEM 758.015625 1691846922.2474
MEM 758.015625 1691846922.3477
MEM 758.015625 1691846922.4479
MEM 758.015625 1691846922.5481
MEM 758.015625 1691846922.6484
MEM 831.335938 1691846922.7487
MEM 758.015625 1691846922.8489
MEM 877.816406 1691846922.9492
MEM 758.015625 1691846923.0494
MEM 939.085938 1691846923.1498
MEM 758.015625 1691846923.2500
MEM 967.816406 1691846923.3503
MEM 758.015625 1691846923.4505
MEM 758.015625 1691846923.5508
MEM 758.015625 1691846923.6510
MEM 568.789062 1691846923.7512
MEM 710.121094 1691846923.8516
MEM 747.441406 1691846923.9519
MEM 710.121094 1691846924.0522
MEM 817.265625 1691846924.1525
MEM 757.945312 1691846924.2527
MEM 893.015625 1691846924.3530
MEM 757.945312 1691846924.4533
MEM 935.746094 1691846924.5536
MEM 757.945312 1691846924.6538
MEM 757.945312 1691846924.7540
MEM 757.945312 1691846924.8543
MEM 757.945312 1691846924.9545
MEM 757.945312 1691846925.0548
MEM 757.945312 1691846925.1550
MEM 757.945312 1691846925.2552
MEM 757.945312 1691846925.3556
MEM 757.945312 1691846925.4559
MEM 757.945312 1691846925.5561
MEM 757.945312 1691846925.6563
MEM 757.945312 1691846925.7566
MEM 769.265625 1691846925.8569
MEM 757.945312 1691846925.9571
MEM 568.929688 1691846926.0576
MEM 796.652344 1691846926.1579
MEM 710.121094 1691846926.2581
MEM 710.121094 1691846926.3583
MEM 710.121094 1691846926.4586
MEM 757.945312 1691846926.5588
MEM 757.945312 1691846926.6591
MEM 757.945312 1691846926.7593
MEM 757.945312 1691846926.8595
MEM 757.945312 1691846926.9598
MEM 757.945312 1691846927.0600
MEM 757.945312 1691846927.1602
MEM 785.265625 1691846927.2605
MEM 757.945312 1691846927.3608
MEM 869.015625 1691846927.4611
MEM 757.945312 1691846927.5613
MEM 905.746094 1691846927.6616
MEM 757.945312 1691846927.7618
MEM 757.945312 1691846927.8621
MEM 757.945312 1691846927.9624
MEM 757.945312 1691846928.0626
MEM 757.945312 1691846928.1629
MEM 757.945312 1691846928.2631
MEM 757.945312 1691846928.3634
MEM 599.414062 1691846928.4636
MEM 710.121094 1691846928.5638
MEM 783.441406 1691846928.6641
MEM 710.121094 1691846928.7644
MEM 837.265625 1691846928.8647
MEM 757.945312 1691846928.9649
MEM 905.015625 1691846929.0652
MEM 757.945312 1691846929.1655
MEM 917.746094 1691846929.2658
MEM 757.945312 1691846929.3660
MEM 757.945312 1691846929.4662
MEM 757.945312 1691846929.5665
MEM 757.945312 1691846929.6667
MEM 757.945312 1691846929.7669
MEM 757.945312 1691846929.8672
MEM 757.945312 1691846929.9674
MEM 757.945312 1691846930.0677
MEM 757.945312 1691846930.1679
MEM 757.945312 1691846930.2681
MEM 757.945312 1691846930.3685
MEM 757.945312 1691846930.4687
MEM 757.945312 1691846930.5690
MEM 757.945312 1691846930.6692
MEM 568.929688 1691846930.7695
MEM 699.660156 1691846930.8698
MEM 709.609375 1691846930.9700
MEM 709.710938 1691846931.0703
MEM 709.710938 1691846931.1705
MEM 958.093750 1691846931.2709
MEM 757.433594 1691846931.3711
MEM 757.535156 1691846931.4714
MEM 757.535156 1691846931.5716
MEM 757.433594 1691846931.6718
MEM 757.433594 1691846931.7721
MEM 757.535156 1691846931.8723
MEM 757.535156 1691846931.9725
MEM 757.433594 1691846932.0728
MEM 757.433594 1691846932.1730
MEM 757.535156 1691846932.2732
MEM 757.535156 1691846932.3735
MEM 757.433594 1691846932.4737
MEM 757.433594 1691846932.5740
MEM 757.535156 1691846932.6742
MEM 757.535156 1691846932.7744
MEM 757.433594 1691846932.8747
MEM 816.097656 1691846932.9750
MEM 757.535156 1691846933.0753
MEM 568.937500 1691846933.1755
MEM 710.125000 1691846933.2757
MEM 710.125000 1691846933.3760
MEM 710.125000 1691846933.4762
MEM 710.125000 1691846933.5764
MEM 757.949219 1691846933.6767
MEM 757.949219 1691846933.7769
MEM 757.949219 1691846933.8771
MEM 757.949219 1691846933.9774
MEM 757.949219 1691846934.0776
MEM 757.949219 1691846934.1779
MEM 757.949219 1691846934.2781
MEM 757.949219 1691846934.3783
MEM 757.949219 1691846934.4786
MEM 757.949219 1691846934.5788
MEM 757.949219 1691846934.6790
MEM 757.949219 1691846934.7797
MEM 757.949219 1691846934.8799
MEM 758.574219 1691846934.9802
MEM 757.949219 1691846935.0804
MEM 767.269531 1691846935.1807
MEM 757.949219 1691846935.2810
MEM 821.269531 1691846935.3814
MEM 757.949219 1691846935.4816
MEM 568.933594 1691846935.5819
MEM 816.656250 1691846935.6822
MEM 710.125000 1691846935.7824
MEM 710.125000 1691846935.8827
MEM 710.125000 1691846935.9829
MEM 757.949219 1691846936.0832
MEM 757.949219 1691846936.1834
MEM 757.949219 1691846936.2836
MEM 757.949219 1691846936.3839
MEM 757.949219 1691846936.4841
MEM 757.949219 1691846936.5843
MEM 757.949219 1691846936.6846
MEM 757.949219 1691846936.7848
MEM 757.949219 1691846936.8850
MEM 757.949219 1691846936.9853
MEM 757.949219 1691846937.0855
MEM 757.949219 1691846937.1859
MEM 757.949219 1691846937.2862
MEM 757.949219 1691846937.3864
MEM 757.949219 1691846937.4866
MEM 757.949219 1691846937.5869
MEM 757.949219 1691846937.6872
MEM 775.269531 1691846937.7875
MEM 757.949219 1691846937.8877
MEM 568.933594 1691846937.9882
MEM 770.656250 1691846938.0885
MEM 710.125000 1691846938.1887
MEM 710.125000 1691846938.2889
MEM 710.125000 1691846938.3892
MEM 757.949219 1691846938.4894
MEM 757.949219 1691846938.5897
MEM 757.949219 1691846938.6899
MEM 757.949219 1691846938.7902
MEM 757.949219 1691846938.8904
MEM 757.949219 1691846938.9906
MEM 757.949219 1691846939.0909
MEM 757.949219 1691846939.1911
MEM 757.949219 1691846939.2914
MEM 757.949219 1691846939.3916
MEM 757.949219 1691846939.4918
MEM 757.949219 1691846939.5921
MEM 757.949219 1691846939.6923
MEM 757.949219 1691846939.7926
MEM 757.949219 1691846939.8928
MEM 757.949219 1691846939.9930
MEM 757.949219 1691846940.0933
MEM 757.949219 1691846940.1935
MEM 757.949219 1691846940.2938
MEM 757.949219 1691846940.3941
MEM 692.175781 1691846940.4944
MEM 710.125000 1691846940.5946
MEM 899.199219 1691846940.6949
MEM 710.128906 1691846940.7952
MEM 901.753906 1691846940.8956
MEM 757.953125 1691846940.9959
MEM 971.023438 1691846941.0962
MEM 757.953125 1691846941.1964
MEM 953.753906 1691846941.2967
MEM 757.953125 1691846941.3969
MEM 757.953125 1691846941.4971
MEM 757.953125 1691846941.5974
MEM 757.953125 1691846941.6976
MEM 757.953125 1691846941.7979
MEM 757.953125 1691846941.8981
MEM 757.953125 1691846941.9983
MEM 757.953125 1691846942.0986
MEM 757.953125 1691846942.1988
